State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details
Haryana,Unknown,2022,December,Thursday,1:27,Minor,1,Cycle,6,2,Rainy,State Highway,Under Construction,Dusk,Police Checkpost,80,52,Male,Valid,No,Curve
Chandigarh,Unknown,2019,October,Saturday,16:20,Serious,2,Bus,6,0,Stormy,State Highway,Damaged,Dark,Signs,47,22,Female,Valid,No,Intersection
Tripura,Visakhapatnam,2023,February,Friday,10:45,Serious,5,Truck,2,2,Hazy,National Highway,Wet,Dawn,,43,25,Female,,No,Straight Road
Assam,Jaipur,2020,August,Saturday,18:31,Fatal,5,Cycle,7,3,Clear,National Highway,Dry,Daylight,Signs,35,42,Male,,Yes,Intersection
Punjab,Mumbai,2021,September,Wednesday,23:55,Minor,2,Car,6,4,Clear,National Highway,Dry,Dark,Police Checkpost,120,49,Male,,No,Intersection
Madhya Pradesh,Unknown,2022,October,Tuesday,9:30,Minor,5,Two-Wheeler,1,2,Hazy,National Highway,Damaged,Dark,,98,61,Male,,No,Straight Road
Delhi,Rohini,2019,May,Friday,1:02,Serious,2,Cycle,10,3,Foggy,Village Road,Wet,Daylight,Police Checkpost,95,26,Female,,No,Intersection
Jammu and Kashmir,Unknown,2019,June,Friday,1:52,Serious,4,Auto-Rickshaw,3,3,Clear,Village Road,Damaged,Daylight,Signs,108,31,Male,Valid,No,Straight Road
Delhi,Durgapur,2020,January,Tuesday,4:51,Minor,2,Cycle,2,2,Rainy,National Highway,Damaged,Daylight,Signs,56,38,Male,Valid,Yes,Intersection
Himachal Pradesh,Udaipur,2018,December,Friday,22:17,Serious,2,Truck,9,0,Clear,State Highway,Damaged,Daylight,Signs,42,45,Female,,Yes,Intersection
Delhi,Unknown,2020,March,Saturday,21:45,Fatal,5,Cycle,1,0,Clear,National Highway,Dry,Dark,Signs,32,65,Male,Expired,Yes,Intersection
Delhi,Unknown,2019,January,Friday,12:43,Serious,1,Cycle,10,4,Clear,Village Road,Wet,Dawn,Signs,71,51,Female,Valid,Yes,Intersection
Madhya Pradesh,Ahmedabad,2022,October,Sunday,2:24,Serious,5,Bus,10,3,Rainy,State Highway,Under Construction,Dark,Signs,81,60,Male,Expired,Yes,Intersection
Manipur,Unknown,2023,November,Friday,13:12,Serious,4,Bus,1,2,Clear,State Highway,Dry,Daylight,Police Checkpost,61,52,Male,,No,Curve
Odisha,Unknown,2019,July,Friday,19:13,Fatal,4,Bus,6,3,Rainy,National Highway,Damaged,Dark,,115,47,Male,,No,Straight Road
Delhi,Unknown,2019,March,Friday,8:49,Fatal,3,Auto-Rickshaw,7,5,Foggy,National Highway,Under Construction,Daylight,Police Checkpost,92,46,Male,Expired,No,Intersection
Madhya Pradesh,Unknown,2022,January,Friday,15:49,Serious,5,Bus,6,2,Rainy,Village Road,Under Construction,Daylight,Signs,96,39,Female,Valid,No,Straight Road
Madhya Pradesh,Vadodara,2019,January,Tuesday,5:52,Serious,2,Car,10,0,Foggy,Village Road,Under Construction,Dusk,Police Checkpost,126,36,Female,Valid,No,Intersection
Uttarakhand,Unknown,2020,March,Friday,2:34,Minor,5,Auto-Rickshaw,0,3,Hazy,National Highway,Damaged,Dark,Police Checkpost,64,35,Male,Expired,No,Curve
Tamil Nadu,Unknown,2023,November,Sunday,17:36,Serious,5,Auto-Rickshaw,6,3,Foggy,State Highway,Under Construction,Dark,Police Checkpost,117,47,Female,,No,Intersection
Tamil Nadu,Unknown,2020,January,Saturday,22:18,Serious,2,Cycle,3,1,Foggy,Village Road,Under Construction,Dusk,Police Checkpost,81,23,Female,Expired,No,Intersection
Karnataka,New Delhi,2022,March,Friday,12:49,Serious,1,Auto-Rickshaw,1,4,Foggy,Urban Road,Wet,Dusk,Signs,67,64,Male,Expired,Yes,Straight Road
Meghalaya,Lucknow,2023,October,Sunday,0:49,Serious,3,Cycle,10,2,Hazy,National Highway,Under Construction,Dark,Police Checkpost,64,30,Male,,Yes,Straight Road
Meghalaya,Lucknow,2019,May,Sunday,14:17,Serious,4,Cycle,4,4,Rainy,State Highway,Wet,Daylight,Signs,105,52,Male,Valid,Yes,Intersection
Tripura,Unknown,2021,December,Wednesday,23:57,Fatal,4,Car,8,5,Foggy,State Highway,Under Construction,Daylight,Signs,57,54,Male,Valid,Yes,Straight Road
Mizoram,Pune,2019,October,Saturday,0:17,Minor,4,Two-Wheeler,7,0,Stormy,National Highway,Dry,Dusk,Police Checkpost,71,32,Female,Valid,No,Intersection
Punjab,Durgapur,2023,October,Thursday,0:51,Fatal,3,Cycle,5,3,Clear,Village Road,Dry,Daylight,Police Checkpost,41,28,Female,Expired,Yes,Straight Road
Karnataka,Unknown,2018,January,Friday,23:48,Serious,4,Truck,2,0,Foggy,Village Road,Dry,Daylight,,110,28,Female,,Yes,Intersection
Uttar Pradesh,Unknown,2021,March,Wednesday,2:11,Serious,5,Two-Wheeler,7,0,Hazy,Village Road,Under Construction,Dusk,Signals,45,29,Female,Valid,No,Bridge
Telangana,Unknown,2020,June,Sunday,21:32,Minor,1,Car,8,2,Stormy,State Highway,Wet,Dawn,Signs,56,30,Male,Valid,No,Curve
Delhi,Vijayawada,2018,February,Friday,2:12,Serious,2,Two-Wheeler,11,3,Clear,State Highway,Wet,Dark,Signals,44,60,Male,Expired,No,Straight Road
West Bengal,Unknown,2023,October,Monday,20:05,Fatal,5,Auto-Rickshaw,10,4,Foggy,National Highway,Under Construction,Dark,Police Checkpost,123,38,Female,,No,Intersection
Rajasthan,Nagpur,2022,January,Monday,22:36,Fatal,3,Car,7,3,Rainy,Urban Road,Under Construction,Dark,Signs,69,48,Male,Valid,Yes,Curve
Chandigarh,Dwarka,2018,July,Friday,5:26,Fatal,4,Car,3,0,Rainy,National Highway,Damaged,Dark,Police Checkpost,71,34,Male,,No,Straight Road
Jharkhand,Lucknow,2021,May,Sunday,3:10,Serious,2,Auto-Rickshaw,1,0,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,88,38,Male,,No,Curve
Madhya Pradesh,Unknown,2022,November,Sunday,0:11,Minor,3,Truck,9,0,Rainy,State Highway,Dry,Daylight,Signs,41,45,Male,,Yes,Intersection
Manipur,Unknown,2018,February,Friday,14:58,Serious,2,Car,8,5,Rainy,Village Road,Damaged,Dark,Signals,93,32,Female,,No,Curve
Jharkhand,Unknown,2020,January,Tuesday,17:00,Fatal,2,Truck,8,1,Stormy,Village Road,Dry,Dusk,Police Checkpost,111,58,Male,Valid,Yes,Bridge
West Bengal,Unknown,2020,October,Saturday,19:50,Serious,5,Auto-Rickshaw,1,5,Stormy,National Highway,Under Construction,Dawn,,60,66,Male,Valid,No,Curve
Tamil Nadu,New Delhi,2021,January,Friday,18:05,Serious,5,Auto-Rickshaw,0,4,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,71,47,Female,,No,Intersection
Haryana,Unknown,2019,August,Saturday,2:18,Fatal,4,Auto-Rickshaw,3,3,Rainy,State Highway,Damaged,Daylight,Signs,51,41,Female,Expired,Yes,Bridge
Gujarat,Unknown,2021,November,Monday,12:05,Serious,5,Truck,6,0,Stormy,National Highway,Dry,Daylight,Signals,106,58,Male,,Yes,Intersection
Delhi,Unknown,2018,April,Saturday,6:38,Minor,4,Truck,1,0,Rainy,Urban Road,Under Construction,Dark,,104,29,Female,Valid,No,Intersection
Karnataka,Unknown,2020,November,Friday,16:25,Serious,4,Truck,3,0,Rainy,State Highway,Wet,Dusk,Signs,61,44,Female,,No,Intersection
Jammu and Kashmir,Unknown,2021,November,Wednesday,15:39,Fatal,2,Bus,2,0,Stormy,State Highway,Dry,Dark,Signs,41,49,Male,Expired,No,Intersection
Madhya Pradesh,Unknown,2021,May,Friday,5:08,Serious,2,Bus,7,3,Hazy,State Highway,Damaged,Dawn,Signs,112,60,Male,Expired,Yes,Curve
Madhya Pradesh,Mangalore,2022,October,Friday,21:35,Minor,5,Car,1,0,Rainy,Village Road,Under Construction,Dusk,Signs,111,60,Female,Valid,No,Bridge
Himachal Pradesh,Unknown,2020,August,Tuesday,22:09,Minor,3,Truck,8,4,Stormy,National Highway,Under Construction,Dark,Police Checkpost,78,61,Male,,Yes,Straight Road
Delhi,Unknown,2020,March,Monday,5:09,Serious,2,Cycle,7,3,Foggy,Urban Road,Under Construction,Dawn,Signs,104,29,Female,Expired,Yes,Curve
Telangana,Kanpur,2020,October,Friday,15:21,Minor,2,Car,7,3,Foggy,National Highway,Under Construction,Dusk,Signs,99,34,Male,,No,Intersection
Assam,Unknown,2023,July,Sunday,5:45,Fatal,5,Truck,8,5,Stormy,State Highway,Dry,Dusk,Signs,115,40,Female,,Yes,Straight Road
Assam,Varanasi,2023,May,Sunday,17:31,Minor,4,Truck,3,0,Rainy,State Highway,Damaged,Dusk,Police Checkpost,82,38,Female,,Yes,Intersection
Tamil Nadu,Unknown,2020,October,Friday,3:33,Serious,3,Truck,6,2,Hazy,State Highway,Under Construction,Daylight,Signs,92,37,Female,Expired,No,Curve
Rajasthan,Unknown,2021,November,Thursday,12:47,Minor,3,Truck,6,0,Hazy,Urban Road,Dry,Dawn,Police Checkpost,31,45,Male,,Yes,Bridge
Sikkim,Unknown,2020,October,Friday,0:49,Serious,5,Truck,7,3,Rainy,Urban Road,Under Construction,Dawn,Signals,118,41,Male,Valid,Yes,Straight Road
Telangana,Unknown,2022,November,Wednesday,3:28,Serious,2,Car,4,3,Clear,Village Road,Under Construction,Dusk,Signals,89,30,Female,,No,Straight Road
Karnataka,Nagpur,2020,November,Sunday,8:30,Minor,1,Cycle,9,0,Hazy,Urban Road,Under Construction,Daylight,Police Checkpost,126,48,Female,Valid,No,Straight Road
Rajasthan,Jaipur,2019,March,Friday,16:57,Minor,3,Auto-Rickshaw,3,1,Rainy,State Highway,Dry,Daylight,,114,31,Male,,No,Intersection
Kerala,Unknown,2020,February,Monday,10:39,Serious,5,Truck,6,2,Hazy,Village Road,Damaged,Daylight,Signals,100,72,Female,Valid,Yes,Intersection
Tamil Nadu,Kolkata,2021,November,Thursday,22:59,Serious,2,Two-Wheeler,6,0,Rainy,National Highway,Wet,Dark,Signals,122,51,Male,Expired,Yes,Bridge
Madhya Pradesh,Udaipur,2019,January,Wednesday,3:22,Minor,4,Cycle,8,0,Clear,State Highway,Damaged,Daylight,Signs,95,38,Male,,Yes,Straight Road
Arunachal Pradesh,Unknown,2020,July,Thursday,15:53,Serious,1,Auto-Rickshaw,6,2,Clear,State Highway,Dry,Dark,Signs,49,41,Male,Expired,Yes,Intersection
Delhi,Dwarka,2022,November,Friday,22:28,Minor,4,Auto-Rickshaw,10,3,Clear,Village Road,Wet,Daylight,,64,39,Female,Valid,No,Curve
Jammu and Kashmir,Unknown,2021,November,Tuesday,3:29,Fatal,2,Pedestrian,1,2,Hazy,Village Road,Under Construction,Dark,Signals,37,47,Male,,Yes,Curve
Odisha,Lucknow,2023,January,Sunday,15:54,Fatal,1,Pedestrian,5,5,Rainy,Village Road,Dry,Dawn,Signs,119,54,Female,Expired,Yes,Intersection
Gujarat,Varanasi,2020,February,Wednesday,10:42,Serious,3,Truck,3,0,Hazy,State Highway,Under Construction,Dusk,Signs,93,42,Male,,Yes,Intersection
